oklahoma-sooners,CFB,201,oklahoma-sooners,oklahoma-sooners,,8,Oklahoma,Sooners,990000,ffffff,0
utep-miners,CFB,2638,utep-miners,utep-miners,,17,UTEP,Miners,ff8200,041e42,0
south-carolina-gamecocks,CFB,2579,south-carolina-gamecocks,south-carolina-gamecocks,,8,South Carolina,Gamecocks,73000a,000000,0
kent-state-golden-flashes,CFB,2309,kent-state-golden-flashes,kent-state-golden-flashes,,15,Kent State,Golden Flashes,002664,eaab00,0
tennessee-volunteers,CFB,2633,tennessee-volunteers,tennessee-volunteers,,8,Tennessee,Volunteers,ff8200,ffffff,0
furman-paladins,CFB,231,furman-paladins,furman-paladins,,29,Furman,Paladins,582c83,ffffff,0
texas-longhorns,CFB,251,texas-longhorns,texas-longhorns,,8,Texas,Longhorns,af5c37,ffffff,0
texas-state-bobcats,CFB,326,texas-state-bobcats,texas-state-bobcats,,9,Texas State,Bobcats,501214,6a5638,0
texas-am-aggies,CFB,245,texas-am-aggies,texas-am-aggies,,8,Texas A&M,Aggies,500000,ffffff,0
missouri-state-bears,CFB,2623,missouri-state-bears,missouri-state-bears,,12,Missouri State,Bears,5e0009,ffffff,0
vanderbilt-commodores,CFB,238,vanderbilt-commodores,vanderbilt-commodores,,8,Vanderbilt,Commodores,000000,cfae70,0
austin-peay-governors,CFB,2046,austin-peay-governors,austin-peay-governors,,177,Austin Peay,Governors,8e0b0b,,0
texas-tech-red-raiders,CFB,2641,texas-tech-red-raiders,texas-tech-red-raiders,,4,Texas Tech,Red Raiders,da291c,000000,0
abilene-christian-wildcats,CFB,2000,abilene-christian-wildcats,abilene-christian-wildcats,,177,Abilene Christian,Wildcats,592d82,b1b3b3,0
kansas-state-wildcats,CFB,2306,kansas-state-wildcats,kansas-state-wildcats,,4,Kansas State,Wildcats,330a57,e2e3e4,0
nicholls-colonels,CFB,2447,nicholls-colonels,nicholls-colonels,,30,Nicholls,Colonels,C41230,f0f0f0,0
tulsa-golden-hurricane,CFB,202,tulsa-golden-hurricane,tulsa-golden-hurricane,,151,Tulsa,Golden Hurricane,003595,d0b787,0
oklahoma-state-cowboys,CFB,197,oklahoma-state-cowboys,oklahoma-state-cowboys,,4,Oklahoma State,Cowboys,fe5c00,000000,0
arizona-wildcats,CFB,12,arizona-wildcats,arizona-wildcats,,4,Arizona,Wildcats,cc0033,003366,0
northern-arizona-lumberjacks,CFB,2464,northern-arizona-lumberjacks,northern-arizona-lumberjacks,,20,Northern Arizona,Lumberjacks,003976,1b3069,0
arizona-state-sun-devils,CFB,9,arizona-state-sun-devils,arizona-state-sun-devils,,4,Arizona State,Sun Devils,ffc627,8c1d40,0
morgan-state-bears,CFB,2415,morgan-state-bears,morgan-state-bears,,24,Morgan State,Bears,014786,f47937,0
byu-cougars,CFB,252,byu-cougars,byu-cougars,,4,BYU,Cougars,0047ba,002e5d,0
utah-tech-trailblazers,CFB,3101,utah-tech-trailblazers,utah-tech-trailblazers,,20,Utah Tech,Trailblazers,000000,,0
cincinnati-bearcats,CFB,2132,cincinnati-bearcats,cincinnati-bearcats,,4,Cincinnati,Bearcats,000000,e00122,0
boston-college-eagles,CFB,103,boston-college-eagles,boston-college-eagles,,1,Boston College,Eagles,8c2232,dbcca6,0
houston-cougars,CFB,248,houston-cougars,houston-cougars,,4,Houston,Cougars,c8102e,ffffff,0
oregon-state-beavers,CFB,204,oregon-state-beavers,oregon-state-beavers,,9,Oregon State,Beavers,dc4405,000000,0
iowa-state-cyclones,CFB,66,iowa-state-cyclones,iowa-state-cyclones,,4,Iowa State,Cyclones,ae192d,ffc72a,0
southeast-missouri-state-redhawks,CFB,2546,se-missouri-st-redhawks,southeast-missouri-state-redhawks,,179,Southeast Missouri State,Redhawks,c8102e,000000,0
west-virginia-mountaineers,CFB,277,west-virginia-mountaineers,west-virginia-mountaineers,,4,West Virginia,Mountaineers,eaaa00,002855,0
coastal-carolina-chanticleers,CFB,324,coastal-carolina-chanticleers,coastal-carolina-chanticleers,,167,Coastal Carolina,Chanticleers,006f71,a27752,0
pittsburgh-panthers,CFB,221,pittsburgh-panthers,pittsburgh-panthers,,1,Pittsburgh,Panthers,003594,ffb81c,0
miami-oh-redhawks,CFB,193,miami-oh-redhawks,miami-oh-redhawks,,15,Miami (OH),RedHawks,c41230,ffffff,0
syracuse-orange,CFB,183,syracuse-orange,syracuse-orange,,1,Syracuse,Orange,000e54,ff431b,0
new-hampshire-wildcats,CFB,160,new-hampshire-wildcats,new-hampshire-wildcats,,48,New Hampshire,Wildcats,004990,c3c4c6,0
duke-blue-devils,CFB,150,duke-blue-devils,duke-blue-devils,,1,Duke,Blue Devils,00539b,ffffff,0
tulane-green-wave,CFB,2655,tulane-green-wave,tulane-green-wave,,151,Tulane,Green Wave,006747,418fde,0
california-golden-bears,CFB,25,california-golden-bears,california-golden-bears,,1,California,Golden Bears,041e42,ffc72c,0
ucla-bruins,CFB,26,ucla-bruins,ucla-bruins,,5,UCLA,Bruins,2774ae,f2a900,0
virginia-tech-hokies,CFB,259,virginia-tech-hokies,virginia-tech-hokies,,1,Virginia Tech,Hokies,6a2c3e,cf4520,0
vmi-keydets,CFB,2678,vmi-keydets,vmi-keydets,,29,VMI,Keydets,ae122a,ffd619,0
illinois-fighting-illini,CFB,356,illinois-fighting-illini,illinois-fighting-illini,,5,Illinois,Fighting Illini,ff5f05,13294b,0
uab-blazers,CFB,5,uab-blazers,uab-blazers,,151,UAB,Blazers,1a5632,fdb913,0
indiana-hoosiers,CFB,84,indiana-hoosiers,indiana-hoosiers,,5,Indiana,Hoosiers,970310,ffffff,0
north-texas-mean-green,CFB,249,north-texas-mean-green,north-texas-mean-green,,151,North Texas,Mean Green,068f33,ffffff,0
iowa-hawkeyes,CFB,2294,iowa-hawkeyes,iowa-hawkeyes,,5,Iowa,Hawkeyes,231f20,fcd116,0
northern-illinois-huskies,CFB,2459,northern-illinois-huskies,northern-illinois-huskies,,17,Northern Illinois,Huskies,c8102e,000000,0
maryland-terrapins,CFB,120,maryland-terrapins,maryland-terrapins,,5,Maryland,Terrapins,ce1126,ffffff,0
howard-bison,CFB,47,howard-bison,howard-bison,,24,Howard,Bison,003a63,e51937,0
michigan-wolverines,CFB,130,michigan-wolverines,michigan-wolverines,,5,Michigan,Wolverines,00274c,ffcb05,0
western-michigan-broncos,CFB,2711,western-michigan-broncos,western-michigan-broncos,,15,Western Michigan,Broncos,532e1f,f1c500,0
michigan-state-spartans,CFB,127,michigan-state-spartans,michigan-state-spartans,,5,Michigan State,Spartans,173f35,ffffff,0
toledo-rockets,CFB,2649,toledo-rockets,toledo-rockets,,15,Toledo,Rockets,0b2240,ffcd00,0
nebraska-cornhuskers,CFB,158,nebraska-cornhuskers,nebraska-cornhuskers,,5,Nebraska,Cornhuskers,e31937,ffffff,0
ohio-bobcats,CFB,195,ohio-bobcats,ohio-bobcats,,15,Ohio,Bobcats,154734,ffffff,0
northwestern-wildcats,CFB,77,northwestern-wildcats,northwestern-wildcats,,5,Northwestern,Wildcats,492f92,ffffff,0
south-dakota-state-jackrabbits,CFB,2571,south-dakota-state-jackrabbits,south-dakota-state-jackrabbits,,21,South Dakota State,Jackrabbits,0033a0,ffd100,0
ohio-state-buckeyes,CFB,194,ohio-state-buckeyes,ohio-state-buckeyes,,5,Ohio State,Buckeyes,ba0c2f,a8adb4,0
ball-state-cardinals,CFB,2050,ball-state-cardinals,ball-state-cardinals,,15,Ball State,Cardinals,ba0c2f,ffffff,0
oregon-ducks,CFB,2483,oregon-ducks,oregon-ducks,,5,Oregon,Ducks,00934b,fff41b,0
boise-state-broncos,CFB,68,boise-state-broncos,boise-state-broncos,,9,Boise State,Broncos,0033a0,d64309,0
penn-state-nittany-lions,CFB,213,penn-state-nittany-lions,penn-state-nittany-lions,,5,Penn State,Nittany Lions,061440,ffffff,0
marshall-thundering-herd,CFB,276,marshall-thundering-herd,marshall-thundering-herd,,167,Marshall,Thundering Herd,00b140,000000,0
purdue-boilermakers,CFB,2509,purdue-boilermakers,purdue-boilermakers,,5,Purdue,Boilermakers,ceb888,000000,0
indiana-state-sycamores,CFB,282,indiana-state-sycamores,indiana-state-sycamores,,21,Indiana State,Sycamores,00669a,f0f0f0,0
usc-trojans,CFB,30,usc-trojans,usc-trojans,,5,USC,Trojans,9d2235,ffc72c,0
fresno-state-bulldogs,CFB,278,fresno-state-bulldogs,fresno-state-bulldogs,,9,Fresno State,Bulldogs,b1102b,13284c,0
washington-huskies,CFB,264,washington-huskies,washington-huskies,,5,Washington,Huskies,33006f,e8d3a2,0
washington-state-cougars,CFB,265,washington-state-cougars,washington-state-cougars,,9,Washington State,Cougars,a60f2d,4d4d4d,0
colorado-state-rams,CFB,36,colorado-state-rams,colorado-state-rams,,9,Colorado State,Rams,004c23,c8c372,0
wyoming-cowboys,CFB,2751,wyoming-cowboys,wyoming-cowboys,,17,Wyoming,Cowboys,492f24,ffc425,0
san-diego-state-aztecs,CFB,21,san-diego-state-aztecs,san-diego-state-aztecs,,9,San Diego State,Aztecs,a6192e,000000,0
portland-state-vikings,CFB,2502,portland-state-vikings,portland-state-vikings,,20,Portland State,Vikings,00311e,ebebeb,0
utah-state-aggies,CFB,328,utah-state-aggies,utah-state-aggies,,9,Utah State,Aggies,0f2439,ffffff,0
idaho-state-bengals,CFB,304,idaho-state-bengals,idaho-state-bengals,,20,Idaho State,Bengals,ef8c00,e9a126,0
uconn-huskies,CFB,41,connecticut-huskies,uconn-huskies,,18,UConn,Huskies,0c2340,a2aaad,0
lafayette-leopards,CFB,322,lafayette-leopards,lafayette-leopards,,27,Lafayette,Leopards,790000,a59474,0
wisconsin-badgers,CFB,275,wisconsin-badgers,wisconsin-badgers,,5,Wisconsin,Badgers,a00000,ffffff,0
notre-dame-fighting-irish,CFB,87,notre-dame-fighting-irish,notre-dame-fighting-irish,,18,Notre Dame,Fighting Irish,062340,c99700,0
florida-state-seminoles,CFB,52,florida-state-seminoles,florida-state-seminoles,,1,Florida State,Seminoles,782f40,ceb888,0
smu-mustangs,CFB,2567,smu-mustangs,smu-mustangs,,1,SMU,Mustangs,a80000,0033a1,0
