utah-tech-trailblazers,Conference,0,0,0
utah-tech-trailblazers,Overall,0,0,0
cincinnati-bearcats,Conference,0,4,0
cincinnati-bearcats,Overall,0,0,0
boston-college-eagles,Conference,0,7,0
boston-college-eagles,Overall,0,0,0
houston-cougars,Conference,0,3,0
houston-cougars,Overall,0,0,0
oregon-state-beavers,Conference,0,0,0
oregon-state-beavers,Overall,0,0,0
iowa-state-cyclones,Conference,0,4,0
iowa-state-cyclones,Overall,0,0,0
southeast-missouri-state-redhawks,Conference,0,0,0
southeast-missouri-state-redhawks,Overall,0,0,0
west-virginia-mountaineers,Conference,0,7,0
west-virginia-mountaineers,Overall,0,0,0
coastal-carolina-chanticleers,Conference,0,3,0
coastal-carolina-chanticleers,Overall,0,0,0
pittsburgh-panthers,Conference,0,2,0
pittsburgh-panthers,Overall,0,0,0
miami-oh-redhawks,Conference,0,2,0
miami-oh-redhawks,Overall,0,0,0
syracuse-orange,Conference,0,7,0
syracuse-orange,Overall,0,0,0
new-hampshire-wildcats,Conference,0,0,0
new-hampshire-wildcats,Overall,0,0,0
duke-blue-devils,Conference,0,2,0
duke-blue-devils,Overall,0,0,0
tulane-green-wave,Conference,0,1,0
tulane-green-wave,Overall,0,0,0
california-golden-bears,Conference,0,4,0
california-golden-bears,Overall,0,0,0
ucla-bruins,Conference,0,6,0
ucla-bruins,Overall,0,0,0
virginia-tech-hokies,Conference,0,6,0
virginia-tech-hokies,Overall,0,0,0
vmi-keydets,Conference,0,0,0
vmi-keydets,Overall,0,0,0
illinois-fighting-illini,Conference,0,4,0
illinois-fighting-illini,Overall,0,0,0
uab-blazers,Conference,0,6,0
uab-blazers,Overall,0,0,0
indiana-hoosiers,Conference,0,0,0
indiana-hoosiers,Overall,0,0,0
north-texas-mean-green,Conference,0,1,0
north-texas-mean-green,Overall,0,0,0
iowa-hawkeyes,Conference,0,3,0
iowa-hawkeyes,Overall,0,0,0
northern-illinois-huskies,Conference,0,6,0
northern-illinois-huskies,Overall,0,0,0
maryland-terrapins,Conference,0,8,0
maryland-terrapins,Overall,0,0,0
howard-bison,Conference,0,0,0
howard-bison,Overall,0,0,0
michigan-wolverines,Conference,0,2,0
michigan-wolverines,Overall,0,0,0
western-michigan-broncos,Conference,0,1,0
western-michigan-broncos,Overall,0,0,0
michigan-state-spartans,Conference,0,8,0
michigan-state-spartans,Overall,0,0,0
toledo-rockets,Conference,0,2,0
toledo-rockets,Overall,0,0,0
nebraska-cornhuskers,Conference,0,5,0
nebraska-cornhuskers,Overall,0,0,0
ohio-bobcats,Conference,0,2,0
ohio-bobcats,Overall,0,0,0
northwestern-wildcats,Conference,0,5,0
northwestern-wildcats,Overall,0,0,0
south-dakota-state-jackrabbits,Conference,0,0,0
south-dakota-state-jackrabbits,Overall,0,0,0
ohio-state-buckeyes,Conference,0,0,0
ohio-state-buckeyes,Overall,0,0,0
ball-state-cardinals,Conference,0,5,0
ball-state-cardinals,Overall,0,0,0
oregon-ducks,Conference,0,1,0
oregon-ducks,Overall,0,0,0
boise-state-broncos,Conference,0,2,0
boise-state-broncos,Overall,0,0,0
penn-state-nittany-lions,Conference,0,6,0
penn-state-nittany-lions,Overall,0,0,0
marshall-thundering-herd,Conference,0,5,0
marshall-thundering-herd,Overall,0,0,0
purdue-boilermakers,Conference,0,9,0
purdue-boilermakers,Overall,0,0,0
indiana-state-sycamores,Conference,0,0,0
indiana-state-sycamores,Overall,0,0,0
usc-trojans,Conference,0,2,0
usc-trojans,Overall,0,0,0
fresno-state-bulldogs,Conference,0,3,0
fresno-state-bulldogs,Overall,0,0,0
washington-huskies,Conference,0,4,0
washington-huskies,Overall,0,0,0
washington-state-cougars,Conference,0,0,0
washington-state-cougars,Overall,0,0,0
colorado-state-rams,Conference,0,7,0
colorado-state-rams,Overall,0,0,0
wyoming-cowboys,Conference,0,6,0
wyoming-cowboys,Overall,0,0,0
san-diego-state-aztecs,Conference,0,2,0
san-diego-state-aztecs,Overall,0,0,0
portland-state-vikings,Conference,0,0,0
portland-state-vikings,Overall,0,0,0
utah-state-aggies,Conference,0,4,0
utah-state-aggies,Overall,0,0,0
idaho-state-bengals,Conference,0,0,0
idaho-state-bengals,Overall,0,0,0
uconn-huskies,Conference,0,0,0
uconn-huskies,Overall,0,0,0
lafayette-leopards,Conference,0,0,0
lafayette-leopards,Overall,0,0,0
charlotte-49ers,Conference,0,8,0
charlotte-49ers,Overall,0,0,0
the-citadel-bulldogs,Conference,0,0,0
the-citadel-bulldogs,Overall,0,0,0
memphis-tigers,Conference,0,4,0
memphis-tigers,Overall,0,0,0
arkansas-state-red-wolves,Conference,0,3,0
arkansas-state-red-wolves,Overall,0,0,0
navy-midshipmen,Conference,0,1,0
navy-midshipmen,Overall,0,0,0
towson-tigers,Conference,0,0,0
towson-tigers,Overall,0,0,0
rice-owls,Conference,0,6,0
rice-owls,Overall,0,0,0
houston-christian-huskies,Conference,0,0,0
houston-christian-huskies,Overall,0,0,0
temple-owls,Conference,0,5,0
temple-owls,Overall,0,0,0
rhode-island-rams,Conference,0,0,0
rhode-island-rams,Overall,0,0,0
south-florida-bulls,Conference,0,2,0
south-florida-bulls,Overall,0,0,0
florida-international-panthers,Conference,0,3,0
florida-international-panthers,Overall,0,0,0
